ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-1-77414-651-4,Profit-focused demand-driven attitude,Ms Caroline Reed,Non-Fiction,1988,7,2024-08-22,Available,True
978-0-630-57578-9,Multi-tiered impactful approach,Matthew Birch,Children,1952,7,2024-11-05,Available,True
9780766606951,Ameliorated multimedia hierarchy,Liam Pugh-Wells,Children,2001,9,2019-12-29,Damaged,True
978-1-5326-4741-3,Streamlined tertiary firmware,Katie Davies,Fiction,1982,7,2015-12-04,Missing,True
978-0-9684835-9-6,Visionary human-resource application,Sarah Wallace,Young Adult,1981,4,2021-04-22,Available,True
978-0-87163-881-6,Reverse-engineered didactic strategy,Gregory Mistry,Reference,1994,5,2017-03-27,Missing,True
978-0-89938-198-5,Polarized real-time capacity,Chelsea Ross,Children,1955,8,2016-10-03,Checked Out,True
978-1-57601-808-8,Optional transitional intranet,Sam Morris,Young Adult,1986,5,2017-01-16,Damaged,True
978-1-915289-32-2,Profound bi-directional utilization,Dr Charlie Holt,Fiction,1965,7,2023-04-12,Available,True
978-1-313-19749-6,Fully-configurable bifurcated encoding,Ms Grace Davies,Non-Fiction,1999,1,2020-01-19,Available,True
978-1-59376-511-8,Programmable clear-thinking Graphic Interface,Dr Aimee Griffin,Fiction,2008,5,2016-11-19,Missing,True
978-0-7271-5483-5,Open-source context-sensitive monitoring,Alison Hussain,Fiction,1955,1,2018-02-15,Damaged,True
978-0-334-60749-6,Operative scalable middleware,Ben Williams,Fiction,1999,7,2022-03-29,Missing,True
978-1-5448-2187-0,Extended reciprocal open architecture,Craig Whitehouse,Children,2023,0,2017-01-20,Damaged,True
978-1-887740-50-0,Extended zero administration architecture,Mrs Kelly Kemp,Reference,2005,9,2022-06-09,Checked Out,True
978-0-86569-963-2,Quality-focused mobile utilization,Stephanie Jones-Hughes,Reference,1990,5,2018-01-25,Available,True
978-0-538-34106-6,Multi-layered zero-defect knowledgebase,Mr Stewart Elliott,Young Adult,1969,1,2025-07-23,Reserved,True
978-1-65620-670-1,Front-line real-time emulation,Paige Williams,Reference,1980,10,2022-08-02,Missing,True
9781410843975,Decentralized value-added throughput,Mr Elliot Skinner,Reference,2004,7,2022-10-30,Damaged,True
9780409358278,User-centric systemic budgetary management,Nigel Holmes,Non-Fiction,1995,3,2024-12-29,Damaged,True
978-0-10-666465-8,Cross-platform motivating flexibility,Conor Pearson,Young Adult,1980,5,2020-10-07,Reserved,True
978-1-58795-797-0,Configurable bandwidth-monitored frame,Mr Bernard Bell,Reference,2002,0,2021-10-19,Damaged,True
978-1-190-69239-8,Multi-channeled bandwidth-monitored adapter,Victor Hunt,Fiction,2008,2,2023-01-05,Checked Out,True
978-0-7866-8689-6,Re-engineered multi-tasking framework,Julie Brown,Reference,2018,3,2017-08-28,Reserved,True
978-1-03-052411-7,Future-proofed web-enabled concept,Melissa Turner,Fiction,1977,3,2019-07-10,Reserved,True
978-0-352-94957-8,Optional actuating encryption,Guy Mitchell-Fletcher,Fiction,1974,9,2022-09-05,Available,True
9781929704538,Programmable interactive moratorium,Joe Rees,Fiction,1984,3,2022-09-24,Available,True
978-1-76213-545-2,Open-architected web-enabled architecture,Pauline Scott-O'Neill,Reference,2009,4,2023-03-13,Checked Out,True
978-1-899531-20-2,Automated multi-state throughput,Mrs Denise Parker,Young Adult,1989,9,2023-07-28,Checked Out,True
9781170364239,Pre-emptive uniform encryption,Lisa Martin,Young Adult,2001,10,2023-12-16,Checked Out,True
978-1-147-18976-6,Diverse asynchronous task-force,Damian Butler,Children,2011,9,2025-01-20,Damaged,True
978-0-921017-27-1,Future-proofed needs-based throughput,Hannah Walters,Young Adult,1958,4,2024-09-19,Missing,True
978-1-07-963132-6,Grass-roots systemic approach,Ashley Fox,Fiction,1975,10,2023-12-13,Available,True
978-1-196-62714-1,Monitored mission-critical application,Miss Beth Hill,Fiction,2008,10,2022-09-04,Checked Out,True
978-0-378-57717-5,Decentralized context-sensitive architecture,Bryan Tyler,Children,2005,5,2017-09-25,Missing,True
978-1-67070-022-3,Stand-alone leadingedge orchestration,Dr Jonathan Pratt,Non-Fiction,1999,0,2018-11-05,Missing,True
9781843003984,Proactive motivating productivity,Mr Rhys Scott,Non-Fiction,1993,2,2025-06-15,Damaged,True
978-1-949186-84-0,Right-sized solution-oriented migration,Damien Dixon,Non-Fiction,2010,9,2022-11-20,Reserved,True
978-0-392-26868-4,Phased 4thgeneration project,Timothy Jones,Fiction,1968,8,2019-07-04,Missing,True
978-1-4576-5309-4,Digitized empowering synergy,Miss Clare Brown,Young Adult,2004,9,2020-11-01,Available,True
978-0-225-75041-6,Devolved cohesive instruction set,Miss Alice Marshall,Fiction,1966,10,2019-07-09,Checked Out,True
9781557314925,Switchable interactive interface,Anne Mann,Non-Fiction,1971,1,2018-04-26,Reserved,True
978-1-03-828071-8,Centralized actuating circuit,Sally Carey-Brady,Non-Fiction,1991,2,2021-01-24,Damaged,True
978-1-179-39969-0,Polarized real-time encryption,Stanley Wilson,Fiction,1963,9,2023-09-27,Damaged,True
978-0-8338-7688-1,Expanded neutral success,Dr Elliot Jackson,Reference,2022,2,2021-01-28,Reserved,True
978-0-7386-8165-8,Enterprise-wide value-added circuit,Zoe Sims,Reference,1989,6,2023-11-13,Reserved,True
9781873521991,Programmable 4thgeneration implementation,Scott Bennett,Young Adult,1983,10,2021-10-02,Reserved,True
978-0-342-99508-0,Object-based maximized collaboration,Martin Miles-Yates,Young Adult,1997,3,2017-08-20,Checked Out,True
978-0-7677-7867-1,Synchronized transitional emulation,Josh Jones-Kent,Children,1990,4,2016-06-16,Reserved,True
978-1-9746-8993-4,Extended 5thgeneration hierarchy,Rita Jones,Fiction,1964,8,2016-03-18,Available,True
978-0-426-10332-5,Grass-roots next generation solution,Frederick Kay,Reference,1993,1,2019-04-15,Checked Out,True
978-0-9866132-9-6,Innovative 3rdgeneration initiative,Shannon Page,Young Adult,2007,3,2017-08-10,Missing,True
978-1-398-57268-3,Inverse 5thgeneration access,Brian Fisher,Fiction,1993,2,2022-07-21,Available,True
978-0-85800-999-8,Profound interactive Internet solution,Bruce Pearce,Non-Fiction,2020,10,2023-08-17,Missing,True
978-1-05-149048-4,Versatile maximized synergy,Debra Atkinson,Fiction,1977,7,2020-08-29,Damaged,True
978-0-453-64996-4,Cross-platform transitional approach,Frederick Atkinson,Reference,1988,1,2021-07-10,Missing,True
978-1-222-26461-6,Versatile fresh-thinking encoding,Christine Boyle,Children,2013,1,2020-10-01,Reserved,True
978-1-5076-9769-6,Fully-configurable national solution,Katherine Griffiths,Young Adult,1967,2,2019-05-15,Available,True
978-0-16-812075-8,Adaptive actuating algorithm,Mrs Melanie Owen,Fiction,1983,10,2024-08-18,Missing,True
9780922445561,Mandatory contextually-based data-warehouse,Samantha Green,Non-Fiction,1975,3,2023-03-20,Reserved,True
978-1-139-99517-7,Open-architected non-volatile policy,Kelly Cross,Children,1957,1,2018-03-03,Available,True
9781695907058,User-centric stable service-desk,Dr Clifford Charlton,Non-Fiction,2006,2,2016-06-08,Missing,True
978-0-611-28740-3,Triple-buffered motivating project,Charlotte Price,Non-Fiction,1999,0,2017-09-09,Checked Out,True
978-1-993821-45-2,De-engineered needs-based intranet,Dr Joseph Lowe,Fiction,2015,7,2025-05-27,Damaged,True
978-0-284-05218-6,Multi-channeled actuating Graphic Interface,Mrs Heather Hudson,Children,2009,7,2023-03-24,Available,True
978-0-604-85896-2,Inverse empowering pricing structure,Joshua French,Reference,1951,6,2018-07-02,Damaged,True
978-0-86547-192-4,Proactive secondary application,Christian Smith,Young Adult,1963,8,2020-05-10,Checked Out,True
978-0-566-23005-9,Object-based 24hour paradigm,Dean Dixon,Young Adult,1998,2,2019-09-12,Missing,True
978-1-01-235066-6,Self-enabling holistic implementation,Mrs Paula Day,Children,1950,7,2019-04-10,Damaged,True
978-1-57657-893-3,Phased object-oriented standardization,Eileen Glover,Young Adult,1958,10,2021-10-20,Damaged,True
978-1-372-99035-9,Distributed attitude-oriented solution,Dr John Wright,Non-Fiction,1962,7,2016-01-20,Checked Out,True
978-1-4714-2432-8,Configurable bandwidth-monitored archive,Mr Gary Williams,Fiction,1986,8,2019-12-13,Missing,True
978-0-7738-1330-4,Seamless national encryption,Holly Charlton,Reference,2000,8,2017-05-29,Available,True
978-0-346-33287-4,Fundamental scalable collaboration,Dr Gavin Newton,Children,1963,8,2025-06-05,Damaged,True
978-1-80580-005-7,Realigned object-oriented protocol,Ms Teresa Clark,Reference,1978,0,2020-06-22,Checked Out,True
978-0-15-438578-9,Customer-focused next generation productivity,Jodie Price,Non-Fiction,1999,4,2025-06-14,Reserved,True
978-0-488-15144-9,Optimized incremental array,Hugh Wright,Young Adult,1982,9,2018-04-23,Damaged,True
978-0-00-656266-5,Optimized national neural-net,Miss Sally King,Young Adult,1988,1,2018-02-18,Missing,True
9780776659954,Secured radical analyzer,Joyce Wilson,Reference,1960,6,2018-08-07,Available,True
978-0-8162-2664-1,Profound fault-tolerant pricing structure,Alexander Hill,Children,1979,9,2019-09-15,Available,True
978-1-288-36358-2,Centralized stable hub,Mr Oliver Hopkins,Young Adult,1982,9,2019-05-23,Available,True
978-0-356-11702-7,Pre-emptive motivating frame,Neil Jordan,Reference,2012,10,2020-05-06,Available,True
978-1-223-91761-0,Seamless tangible installation,Jonathan Wallace,Non-Fiction,1988,2,2019-03-31,Reserved,True
978-1-313-57408-2,Organized fault-tolerant knowledge user,Lauren Taylor-Chapman,Fiction,2007,10,2020-07-20,Available,True
978-0-7565-7799-5,Centralized human-resource capability,Adrian Cox,Fiction,2020,1,2018-05-30,Reserved,True
978-0-18-095455-3,Compatible optimal protocol,Donna Webb,Reference,2023,1,2025-01-01,Checked Out,True
978-0-484-01617-9,Business-focused solution-oriented secured line,Miss Katy Walker,Young Adult,2019,2,2018-10-29,Missing,True
978-0-375-20156-1,Seamless bandwidth-monitored focus group,Mrs Janice Richardson,Young Adult,2009,0,2018-10-09,Damaged,True
978-1-7337684-0-5,Up-sized regional array,Wendy Hammond,Children,1972,1,2020-09-12,Reserved,True
9780907195719,Switchable exuding hardware,Denise Jackson,Non-Fiction,1958,9,2016-10-08,Checked Out,True
978-1-83873-680-4,Persistent context-sensitive policy,Dr Lisa Brady,Young Adult,1967,5,2020-12-16,Checked Out,True
978-0-88168-482-7,Persistent transitional concept,Gail Young,Young Adult,1950,2,2024-01-07,Checked Out,True
978-1-04-644503-1,Ameliorated stable ability,Mrs Danielle Evans,Fiction,2004,9,2023-01-08,Available,True
978-0-87330-027-8,Sharable homogeneous encoding,Brian Mann-Murphy,Reference,2015,7,2017-06-12,Reserved,True
978-0-695-04326-1,Balanced full-range paradigm,Danielle Hall,Children,2015,0,2019-05-08,Checked Out,True
978-0-265-49305-2,Expanded non-volatile Local Area Network,Natasha Watts,Reference,1979,3,2016-09-30,Reserved,True
978-1-4260-6009-0,Realigned regional strategy,Jason Jones,Reference,1979,8,2024-08-10,Reserved,True
978-0-431-64119-5,Seamless background standardization,Marion Owen,Non-Fiction,1960,0,2018-11-21,Damaged,True
978-0-542-60062-3,Quality-focused web-enabled project,Hugh Akhtar,Children,2007,3,2017-09-04,Reserved,True
978-0-579-93895-9,Re-engineered exuding hub,Lawrence Thompson,Fiction,2011,4,2019-01-17,Reserved,True
9781752949779,Multi-channeled hybrid hierarchy,Mrs Amanda Lewis,Children,1998,9,2023-07-22,Checked Out,True
978-1-383-67665-5,Visionary logistical approach,Hannah Newman,Children,1965,0,2016-07-25,Checked Out,True
978-0-338-75342-7,Compatible exuding forecast,Conor Stevens-James,Fiction,1988,0,2018-09-01,Available,True
978-1-4988-3968-6,Exclusive next generation solution,Paula Hayes,Non-Fiction,2019,3,2024-06-17,Checked Out,True
978-0-935352-15-3,Cloned mobile customer loyalty,Gareth Pearson,Fiction,2023,5,2019-12-26,Reserved,True
978-1-899247-15-8,Phased zero-defect Graphic Interface,Mrs Julie Kaur,Reference,2024,7,2022-06-06,Missing,True
9780302212394,Mandatory high-level benchmark,Sophie Taylor,Reference,1951,3,2019-12-17,Reserved,True
978-0-328-54142-3,Down-sized incremental emulation,Joseph Ali,Reference,2008,1,2025-10-10,Damaged,True
978-0-445-37150-7,Future-proofed fresh-thinking capability,Dr Duncan Dunn,Young Adult,1960,7,2020-03-10,Available,True
978-0-15-913268-5,Innovative contextually-based customer loyalty,Lindsey Vincent,Non-Fiction,1954,5,2017-09-07,Damaged,True
